School Code,ACT Score,Zscore
151,21,0.7679307889330292
201,17,-0.7263485104056521
261,20,0.3943609640983589
271,19,0.020791139263688585
411,18,-0.35277868557098174
421,20,0.3943609640983589
431,22,1.1415006137676995
991,13,-2.2206278097443333
1003,14,-1.847057984909663
12,20,0.3943609640983589
61,20,0.3943609640983589
341,20,0.3943609640983589
491,22,1.1415006137676995
541,20,0.3943609640983589
551,21,0.7679307889330292
581,14,-1.847057984909663
771,19,0.020791139263688585
21,19,0.020791139263688585
11,20,0.3943609640983589
161,20,0.3943609640983589
302,19,0.020791139263688585
1011,20,0.3943609640983589
1121,17,-0.7263485104056521
1171,22,1.1415006137676995
2011,21,0.7679307889330292
2021,19,0.020791139263688585
2211,20,0.3943609640983589
2311,18,-0.35277868557098174
3011,20,0.3943609640983589
3141,27,3.009349737941051
4011,21,0.7679307889330292
4021,26,2.635779913106381
5011,24,1.8886402634370403
6011,22,1.1415006137676995
171,17,-0.7263485104056521
185,22,1.1415006137676995
211,18,-0.35277868557098174
241,17,-0.7263485104056521
361,17,-0.7263485104056521
371,17,-0.7263485104056521
403,17,-0.7263485104056521
452,13,-2.2206278097443333
592,14,-1.847057984909663
601,14,-1.847057984909663
951,20,0.3943609640983589
1151,19,0.020791139263688585
1241,18,-0.35277868557098174
1281,21,0.7679307889330292
1291,21,0.7679307889330292
1451,17,-0.7263485104056521
1661,17,-0.7263485104056521
1681,16,-1.0999183352403223
1711,18,-0.35277868557098174
1741,17,-0.7263485104056521
1751,17,-0.7263485104056521
1901,17,-0.7263485104056521
1931,21,0.7679307889330292
2221,20,0.3943609640983589
2351,19,0.020791139263688585
2751,21,0.7679307889330292
2831,20,0.3943609640983589
3011,23,1.51507043860237
3391,19,0.020791139263688585
3541,18,-0.35277868557098174
3623,23,1.51507043860237
3651,14,-1.847057984909663
3731,19,0.020791139263688585
3851,27,3.009349737941051
3861,20,0.3943609640983589
3971,21,0.7679307889330292
5007,18,-0.35277868557098174
5060,13,-2.2206278097443333
5091,21,0.7679307889330292
5121,21,0.7679307889330292
5221,18,-0.35277868557098174
5331,15,-1.4734881600749927
5341,15,-1.4734881600749927
5351,14,-1.847057984909663
5396,21,0.7679307889330292
5416,18,-0.35277868557098174
5481,14,-1.847057984909663
6501,14,-1.847057984909663
7004,20,0.3943609640983589
21,19,0.020791139263688585
101,19,0.020791139263688585
31,21,0.7679307889330292
51,21,0.7679307889330292
151,20,0.3943609640983589
161,16,-1.0999183352403223
502,24,1.8886402634370403
31,20,0.3943609640983589
121,20,0.3943609640983589
163,21,0.7679307889330292
252,20,0.3943609640983589
311,20,0.3943609640983589
341,19,0.020791139263688585
391,19,0.020791139263688585
431,21,0.7679307889330292
551,23,1.51507043860237
661,19,0.020791139263688585
151,21,0.7679307889330292
261,19,0.020791139263688585
271,16,-1.0999183352403223
282,17,-0.7263485104056521
311,23,1.51507043860237
392,22,1.1415006137676995
493,19,0.020791139263688585
501,18,-0.35277868557098174
11,19,0.020791139263688585
123,19,0.020791139263688585
6040,19,0.020791139263688585
7007,21,0.7679307889330292
7009,21,0.7679307889330292
7011,17,-0.7263485104056521
7018,17,-0.7263485104056521
7020,20,0.3943609640983589
7022,18,-0.35277868557098174
7029,22,1.1415006137676995
7030,14,-1.847057984909663
7033,20,0.3943609640983589
7037,17,-0.7263485104056521
7041,28,3.382919562775722
7042,17,-0.7263485104056521
7048,18,-0.35277868557098174
7049,17,-0.7263485104056521
7051,19,0.020791139263688585
7053,18,-0.35277868557098174
7055,21,0.7679307889330292
7056,18,-0.35277868557098174
7059,20,0.3943609640983589
7061,25,2.2622100882717104
7062,14,-1.847057984909663
7065,15,-1.4734881600749927
7068,15,-1.4734881600749927
7071,19,0.020791139263688585
7081,23,1.51507043860237
7091,26,2.635779913106381
7101,22,1.1415006137676995
7111,17,-0.7263485104056521
7121,20,0.3943609640983589
7131,16,-1.0999183352403223
7141,19,0.020791139263688585
7151,16,-1.0999183352403223
7160,18,-0.35277868557098174
7161,25,2.2622100882717104
7191,17,-0.7263485104056521
7201,20,0.3943609640983589
7231,15,-1.4734881600749927
7241,21,0.7679307889330292
7251,15,-1.4734881600749927
7262,17,-0.7263485104056521
7265,25,2.2622100882717104
7271,18,-0.35277868557098174
7301,15,-1.4734881600749927
7341,15,-1.4734881600749927
7361,18,-0.35277868557098174
7371,19,0.020791139263688585
7381,16,-1.0999183352403223
7391,20,0.3943609640983589
7411,16,-1.0999183352403223
7431,22,1.1415006137676995
7461,16,-1.0999183352403223
7511,19,0.020791139263688585
7531,18,-0.35277868557098174
7541,17,-0.7263485104056521
7551,25,2.2622100882717104
7591,16,-1.0999183352403223
7601,18,-0.35277868557098174
7701,17,-0.7263485104056521
7721,17,-0.7263485104056521
7731,16,-1.0999183352403223
7741,18,-0.35277868557098174
7751,18,-0.35277868557098174
7781,18,-0.35277868557098174
7791,16,-1.0999183352403223
7901,22,1.1415006137676995
8019,14,-1.847057984909663
8121,14,-1.847057984909663
8131,13,-2.2206278097443333
31,17,-0.7263485104056521
21,19,0.020791139263688585
331,18,-0.35277868557098174
351,16,-1.0999183352403223
381,17,-0.7263485104056521
531,15,-1.4734881600749927
751,24,1.8886402634370403
861,17,-0.7263485104056521
901,17,-0.7263485104056521
961,17,-0.7263485104056521
1073,22,1.1415006137676995
1181,14,-1.847057984909663
1191,18,-0.35277868557098174
1451,21,0.7679307889330292
1531,26,2.635779913106381
1651,16,-1.0999183352403223
2231,21,0.7679307889330292
2241,18,-0.35277868557098174
2371,18,-0.35277868557098174
2411,17,-0.7263485104056521
2481,17,-0.7263485104056521
2601,20,0.3943609640983589
2651,17,-0.7263485104056521
2681,19,0.020791139263688585
2801,18,-0.35277868557098174
2851,16,-1.0999183352403223
281,19,0.020791139263688585
411,22,1.1415006137676995
521,20,0.3943609640983589
862,19,0.020791139263688585
951,20,0.3943609640983589
1231,19,0.020791139263688585
1251,21,0.7679307889330292
7004,23,1.51507043860237
90,19,0.020791139263688585
91,19,0.020791139263688585
91,18,-0.35277868557098174
51,15,-1.4734881600749927
71,16,-1.0999183352403223
21,20,0.3943609640983589
31,21,0.7679307889330292
21,17,-0.7263485104056521
61,20,0.3943609640983589
81,18,-0.35277868557098174
32,17,-0.7263485104056521
21,17,-0.7263485104056521
181,18,-0.35277868557098174
201,18,-0.35277868557098174
51,19,0.020791139263688585
181,21,0.7679307889330292
251,19,0.020791139263688585
351,20,0.3943609640983589
391,19,0.020791139263688585
221,21,0.7679307889330292
231,18,-0.35277868557098174
251,20,0.3943609640983589
43,17,-0.7263485104056521
73,17,-0.7263485104056521
89,21,0.7679307889330292
93,20,0.3943609640983589
131,16,-1.0999183352403223
151,19,0.020791139263688585
281,18,-0.35277868557098174
291,19,0.020791139263688585
371,14,-1.847057984909663
761,19,0.020791139263688585
1291,20,0.3943609640983589
1322,18,-0.35277868557098174
1541,20,0.3943609640983589
1551,21,0.7679307889330292
1881,21,0.7679307889330292
2241,19,0.020791139263688585
2421,17,-0.7263485104056521
3004,15,-1.4734881600749927
3171,23,1.51507043860237
3371,20,0.3943609640983589
3411,23,1.51507043860237
3431,19,0.020791139263688585
3731,22,1.1415006137676995
3784,17,-0.7263485104056521
4141,21,0.7679307889330292
4151,21,0.7679307889330292
4154,13,-2.2206278097443333
4155,14,-1.847057984909663
4221,20,0.3943609640983589
4731,21,0.7679307889330292
6609,20,0.3943609640983589
6634,19,0.020791139263688585
6646,14,-1.847057984909663
6647,21,0.7679307889330292
31,19,0.020791139263688585
41,18,-0.35277868557098174
61,18,-0.35277868557098174
261,20,0.3943609640983589
31,21,0.7679307889330292
291,19,0.020791139263688585
5001,21,0.7679307889330292
21,20,0.3943609640983589
121,18,-0.35277868557098174
141,19,0.020791139263688585
251,18,-0.35277868557098174
491,19,0.020791139263688585
21,17,-0.7263485104056521
21,19,0.020791139263688585
81,19,0.020791139263688585
161,18,-0.35277868557098174
181,20,0.3943609640983589
211,21,0.7679307889330292
231,19,0.020791139263688585
701,19,0.020791139263688585
801,20,0.3943609640983589
901,19,0.020791139263688585
152,14,-1.847057984909663
221,23,1.51507043860237
241,18,-0.35277868557098174
311,21,0.7679307889330292
491,18,-0.35277868557098174
511,19,0.020791139263688585
531,19,0.020791139263688585
591,20,0.3943609640983589
621,20,0.3943609640983589
721,20,0.3943609640983589
731,18,-0.35277868557098174
745,16,-1.0999183352403223
831,17,-0.7263485104056521
861,19,0.020791139263688585
4121,20,0.3943609640983589
4181,20,0.3943609640983589
4212,14,-1.847057984909663
4242,15,-1.4734881600749927
4251,15,-1.4734881600749927
7004,21,0.7679307889330292
21,22,1.1415006137676995
51,20,0.3943609640983589
161,18,-0.35277868557098174
204,19,0.020791139263688585
1091,22,1.1415006137676995
1141,23,1.51507043860237
1211,15,-1.4734881600749927
1431,15,-1.4734881600749927
21,19,0.020791139263688585
41,19,0.020791139263688585
51,19,0.020791139263688585
91,19,0.020791139263688585
21,18,-0.35277868557098174
11,16,-1.0999183352403223
72,18,-0.35277868557098174
181,20,0.3943609640983589
212,15,-1.4734881600749927
351,18,-0.35277868557098174
431,20,0.3943609640983589
721,22,1.1415006137676995
731,15,-1.4734881600749927
762,20,0.3943609640983589
2104,18,-0.35277868557098174
331,18,-0.35277868557098174
351,20,0.3943609640983589
461,21,0.7679307889330292
501,18,-0.35277868557098174
521,19,0.020791139263688585
661,19,0.020791139263688585
701,18,-0.35277868557098174
9401,18,-0.35277868557098174
9690,19,0.020791139263688585
31,20,0.3943609640983589
241,20,0.3943609640983589
351,22,1.1415006137676995
400,23,1.51507043860237
41,21,0.7679307889330292
101,20,0.3943609640983589
131,20,0.3943609640983589
151,19,0.020791139263688585
191,19,0.020791139263688585
231,20,0.3943609640983589
291,21,0.7679307889330292
41,21,0.7679307889330292
201,20,0.3943609640983589
211,24,1.8886402634370403
581,22,1.1415006137676995
601,22,1.1415006137676995
641,22,1.1415006137676995
9805,26,2.635779913106381
101,18,-0.35277868557098174
40,14,-1.847057984909663
74,15,-1.4734881600749927
84,15,-1.4734881600749927
85,14,-1.847057984909663
111,21,0.7679307889330292
120,15,-1.4734881600749927
121,20,0.3943609640983589
146,21,0.7679307889330292
252,18,-0.35277868557098174
661,18,-0.35277868557098174
671,15,-1.4734881600749927
691,16,-1.0999183352403223
931,20,0.3943609640983589
1001,19,0.020791139263688585
1411,22,1.1415006137676995
1511,20,0.3943609640983589
1521,18,-0.35277868557098174
1542,19,0.020791139263688585
1631,20,0.3943609640983589
1632,21,0.7679307889330292
1651,19,0.020791139263688585
1662,18,-0.35277868557098174
1801,18,-0.35277868557098174
1811,14,-1.847057984909663
1951,19,0.020791139263688585
5711,17,-0.7263485104056521
81,18,-0.35277868557098174
201,18,-0.35277868557098174
601,18,-0.35277868557098174
841,17,-0.7263485104056521
842,17,-0.7263485104056521
853,18,-0.35277868557098174
862,20,0.3943609640983589
902,20,0.3943609640983589
921,22,1.1415006137676995
922,20,0.3943609640983589
959,14,-1.847057984909663
9003,14,-1.847057984909663
81,23,1.51507043860237
151,26,2.635779913106381
395,25,2.2622100882717104
581,17,-0.7263485104056521
691,16,-1.0999183352403223
862,19,0.020791139263688585
961,23,1.51507043860237
1361,17,-0.7263485104056521
1371,18,-0.35277868557098174
1461,17,-0.7263485104056521
1571,17,-0.7263485104056521
1611,17,-0.7263485104056521
1681,24,1.8886402634370403
1771,17,-0.7263485104056521
1851,16,-1.0999183352403223
2001,22,1.1415006137676995
2181,20,0.3943609640983589
2191,21,0.7679307889330292
2201,19,0.020791139263688585
2301,16,-1.0999183352403223
2331,17,-0.7263485104056521
2361,15,-1.4734881600749927
2631,20,0.3943609640983589
2811,17,-0.7263485104056521
3101,13,-2.2206278097443333
3251,23,1.51507043860237
3347,16,-1.0999183352403223
3355,14,-1.847057984909663
3386,12,-2.594197634579004
3396,20,0.3943609640983589
3398,14,-1.847057984909663
3401,12,-2.594197634579004
3443,17,-0.7263485104056521
3861,20,0.3943609640983589
3971,15,-1.4734881600749927
31,18,-0.35277868557098174
63,20,0.3943609640983589
73,21,0.7679307889330292
90,21,0.7679307889330292
101,21,0.7679307889330292
113,18,-0.35277868557098174
114,19,0.020791139263688585
131,19,0.020791139263688585
331,21,0.7679307889330292
471,20,0.3943609640983589
521,19,0.020791139263688585
801,23,1.51507043860237
931,19,0.020791139263688585
251,14,-1.847057984909663
431,17,-0.7263485104056521
711,18,-0.35277868557098174
751,21,0.7679307889330292
1031,17,-0.7263485104056521
1081,19,0.020791139263688585
1531,17,-0.7263485104056521
2031,17,-0.7263485104056521
2081,19,0.020791139263688585
2641,18,-0.35277868557098174
3031,21,0.7679307889330292
3421,18,-0.35277868557098174
3781,21,0.7679307889330292
3921,22,1.1415006137676995
4521,19,0.020791139263688585
4681,24,1.8886402634370403
6181,22,1.1415006137676995
7191,24,1.8886402634370403
7241,16,-1.0999183352403223
7261,15,-1.4734881600749927
7491,14,-1.847057984909663
31,18,-0.35277868557098174
481,17,-0.7263485104056521
791,17,-0.7263485104056521
811,18,-0.35277868557098174
901,18,-0.35277868557098174
937,17,-0.7263485104056521
1051,18,-0.35277868557098174
1131,17,-0.7263485104056521
1181,17,-0.7263485104056521
1671,20,0.3943609640983589
1721,18,-0.35277868557098174
1762,18,-0.35277868557098174
1791,17,-0.7263485104056521
1801,18,-0.35277868557098174
1931,19,0.020791139263688585
1991,18,-0.35277868557098174
8131,22,1.1415006137676995
8133,23,1.51507043860237
112,18,-0.35277868557098174
261,17,-0.7263485104056521
301,18,-0.35277868557098174
33,16,-1.0999183352403223
181,20,0.3943609640983589
251,23,1.51507043860237
401,20,0.3943609640983589
411,23,1.51507043860237
492,24,1.8886402634370403
493,24,1.8886402634370403
121,23,1.51507043860237
161,17,-0.7263485104056521
201,16,-1.0999183352403223
301,17,-0.7263485104056521
401,18,-0.35277868557098174
411,17,-0.7263485104056521
21,20,0.3943609640983589
103,23,1.51507043860237
141,21,0.7679307889330292
151,20,0.3943609640983589
182,22,1.1415006137676995
351,22,1.1415006137676995
21,29,3.756489387610392
51,20,0.3943609640983589
74,20,0.3943609640983589
85,18,-0.35277868557098174
181,22,1.1415006137676995
221,21,0.7679307889330292
1251,20,0.3943609640983589
1391,20,0.3943609640983589
71,21,0.7679307889330292
181,21,0.7679307889330292
251,21,0.7679307889330292
421,22,1.1415006137676995
431,22,1.1415006137676995
491,22,1.1415006137676995
551,20,0.3943609640983589
911,20,0.3943609640983589
931,22,1.1415006137676995
161,19,0.020791139263688585
171,19,0.020791139263688585
2001,22,1.1415006137676995
43,19,0.020791139263688585
91,21,0.7679307889330292
161,20,0.3943609640983589
21,19,0.020791139263688585
1453,21,0.7679307889330292
1551,20,0.3943609640983589
3436,18,-0.35277868557098174
3839,21,0.7679307889330292
4436,22,1.1415006137676995
4941,18,-0.35277868557098174
5836,21,0.7679307889330292
6633,18,-0.35277868557098174
6761,19,0.020791139263688585
6881,17,-0.7263485104056521
7841,14,-1.847057984909663
71,20,0.3943609640983589
101,20,0.3943609640983589
141,20,0.3943609640983589
153,22,1.1415006137676995
271,19,0.020791139263688585
21,19,0.020791139263688585
51,19,0.020791139263688585
13,16,-1.0999183352403223
16,16,-1.0999183352403223
11,25,2.2622100882717104
341,21,0.7679307889330292
351,18,-0.35277868557098174
391,21,0.7679307889330292